dose,exposure,cov_a,cov_b,cov_c,response
100,4151.151667179985,5.7118182538981035,2.331889533141997,7.831692190211973,14.234356182169822
100,8067.255814055288,4.919475027306991,4.663321699049897,6.736228833251078,14.04233259868355
100,4877.670561270752,4.879078118623973,4.212790522479133,4.679678561997343,13.259449245091163
100,9712.927413188414,8.422660289429919,6.55754402063303,1.2863606477552603,16.431257820153427
100,11490.740355578493,4.3650796126345455,3.9582148934550783,3.554226571334798,15.112688672732656
100,2451.5495569450463,8.68613506754053,7.595489431737389,3.638255369559842,13.551836380583772
100,5651.736724774641,6.61487033671654,3.952325847405934,5.133002254197158,14.058206724071816
100,9939.23292683402,5.349061674450915,7.768908985600291,8.291267427930208,14.994016359491688
100,5816.850066202131,5.6074382527727495,2.239051110003308,9.603130421338324,13.256387948650103
100,5175.964861258692,6.061574235451451,1.7883542502918455,8.737906764586185,14.100034022334695
100,12291.089758428909,3.604705760426211,9.947833220078346,4.624791492313548,14.116503797724182
100,5155.022947598127,4.066370907314752,3.836474930158519,0.9479016704071886,13.872385922176742
100,6841.002793415447,2.3085206629451775,5.836746443519315,3.913335344787947,11.639040311896423
100,5972.140571711047,2.1883508498157287,6.751428137824397,5.251527659398115,11.851006899465725
100,2963.727098503042,5.851453827174215,3.6546906417684255,7.279915212248259,12.594366362488946
100,10130.698882143437,6.248946755764191,6.4343604653319755,7.561752057655783,15.548823326982589
100,3904.002699225606,5.149496690816861,6.032229989181176,6.87533701803964,12.219280809456086
100,2412.9210868284126,7.466648489695158,4.394131091899446,1.527715426423224,11.997526698695841
100,4390.03692383188,9.396607279468206,5.184140720120146,7.2912576705315155,15.002982020881394
100,12162.724824490264,3.6351248964732434,4.903904831455794,3.755544692732871,14.335578511332672
100,9868.041433029815,0.3854486118994365,9.470488873582738,5.492196282433816,11.413254260328012
100,6985.588811804739,7.662048360358453,2.9787789954421093,5.210234205415462,15.20716579864664
100,6511.496692682876,3.0606916825784127,5.106589921030279,6.194388338744096,12.820103763201157
100,16030.158841848192,3.1151277592739044,5.870728665027908,5.069604305128964,14.647938421381447
100,6643.097829476301,7.707447406309846,6.2171579903474505,7.008933463280042,14.567910913596357
100,7141.3778725146185,4.200620885889098,3.7234796082647232,6.079110269281988,13.748156872557995
100,5764.077040497287,1.86867827817389,2.207265210424865,4.2538171865405925,12.526974843361753
100,6135.521360518691,5.510428946836155,8.217739224212957,5.33299767577077,14.036816400491153
100,4160.5251098171,4.608652628296863,4.02097165691434,5.377704450488606,11.834886723825955
100,3280.7173485078747,5.016260425078036,2.6700084694627915,5.621638371030827,11.796343341288612
100,12662.734795782948,6.077062479430111,4.335723324364887,8.885370219399134,15.811016726482066
100,10197.565497520736,3.963106314316518,4.44508762676838,4.383867474338036,13.840645909852373
100,6965.320395773617,6.771796908000768,7.895878207562873,5.4732923005963965,13.659211060344164
100,8165.0210049183725,4.379851633068588,5.238935506370299,8.021877066128875,14.343935243532192
100,2193.974805292514,5.929689048492463,7.053421125180893,7.772214756108311,11.092217002803174
100,5312.8548078354415,7.867160640853731,3.6128653184311132,7.972511578275215,14.351661817122967
100,7689.495504280548,6.213503542148596,5.60325293462034,3.404042379611012,15.436826427876243
100,3724.0838116944124,4.086489418052165,4.089935603971496,9.34814287428454,11.477564531624608
100,4332.321386728388,7.980119199989259,5.266670623347122,5.18810898018986,14.612342418054867
100,3816.7947983761287,7.633841063997927,2.597763370896309,9.19455593970929,13.069392185200162
100,3251.375555091962,6.518703900799501,1.6879816675797454,1.6107718165359886,12.565885966769073
100,4911.963094056122,5.67112306006591,9.342607679520592,5.059192055690255,13.310434592417852
100,4906.893178143231,3.2712228183727996,6.657355351681319,8.19096862138861,11.560381944119452
100,4634.05232586616,8.407693364068619,1.8062845834502341,3.0452330849131855,14.253653742104392
100,3316.609148667041,3.3438282609126286,3.3151279514916165,2.9500285270149664,11.190479989298854
100,3223.952636121491,8.713154707308803,9.530794498671527,2.494727353474394,14.154790473654948
100,3825.321883738831,4.337340696294668,8.3151598291108,2.231536982108955,11.231786257827974
100,5236.008792885709,2.290617044552199,4.255227863865191,3.781110248838436,11.63955635729252
100,4022.8699293991335,3.057604138550052,6.5048262145977995,5.928022604062216,11.921258248897608
100,9180.420723057681,5.721756322894736,3.843353277081516,5.596357122618091,14.556669090732077
100,2454.52681132072,4.306662489636756,3.6750485047242183,8.164048170942932,11.06977620714893
100,5084.425486922404,4.026785976794121,2.859747442471744,9.384136933581672,12.856366969446102
100,8213.329837275429,2.463863258060802,3.358705389477543,8.293185904182378,13.090739028892648
100,3104.784164860843,4.872994734282217,8.900582353371462,7.060294015893987,12.133117036741304
100,5885.878587255624,2.8689966820760624,4.847616458270171,0.9891378149704455,12.326968483817101
100,3663.2674024320077,1.0739717499346388,5.336094862461806,3.340542646361642,10.11044198878064
100,3145.0818384745266,3.9368133844428,5.684954810605893,4.01436413941897,10.048575834508139
